item_id,order_id,item_name,cuisine_type,unit_price,quantity
1,100001,Tteokbokki,Korean,62000.0,1
2,100002,Rendang,Indonesian,22000.0,3
3,100003,Butter Chicken,Indian,56000.0,3
4,100003,Naan,Indian,59000.0,1
5,100003,Masala Chai,Indian,77000.0,1
6,100003,Tandoori Chicken,Indian,19000.0,1
7,100004,Club Sandwich,Western,54000.0,2
8,100004,Fish & Chips,Western,68000.0,1
9,100004,Grilled Chicken,Western,63000.0,2
10,100005,Ice Cream,Dessert & Drinks,71000.0,2
11,100005,Matcha Latte,Dessert & Drinks,45000.0,3
12,100006,Ice Cream,Dessert & Drinks,24000.0,2
13,100006,Waffle,Dessert & Drinks,66000.0,2
14,100007,Burger,Western,49000.0,1
15,100007,Pasta,Western,17000.0,1
16,100008,Sundubu Jjigae,Korean,41000.0,2
17,100009,Matcha Latte,Dessert & Drinks,52000.0,3
18,100009,Boba Tea,Dessert & Drinks,23000.0,3
19,100010,Bulgogi,Korean,43000.0,2
20,100010,Sundubu Jjigae,Korean,58000.0,1
21,100010,Japchae,Korean,65000.0,2
22,100010,Tteokbokki,Korean,58000.0,2
23,100011,Bulgogi,Korean,70000.0,3
24,100011,Bibimbap,Korean,58000.0,3
25,100011,Kimchi Jjigae,Korean,42000.0,1
26,100011,Japchae,Korean,18000.0,2
27,100012,Noodle Soup,Chinese,53000.0,3
28,100012,Fried Rice,Chinese,23000.0,1
29,100012,Wonton Soup,Chinese,39000.0,2
30,100013,BBQ Ribs,Western,21000.0,1
31,100014,Onigiri,Japanese,29000.0,2
32,100014,Katsu Curry,Japanese,76000.0,3
33,100014,Udon,Japanese,55000.0,2
34,100014,Gyudon,Japanese,36000.0,3
35,100015,Fattoush,Middle Eastern,24000.0,3
36,100015,Falafel,Middle Eastern,20000.0,1
37,100015,Hummus Plate,Middle Eastern,25000.0,1
38,100016,Lamb Chops,Middle Eastern,77000.0,3
39,100016,Mezze Platter,Middle Eastern,32000.0,1
40,100016,Shawarma,Middle Eastern,67000.0,3
41,100017,Chop Suey,Chinese,33000.0,1
42,100017,Fried Rice,Chinese,42000.0,3
43,100017,Wonton Soup,Chinese,67000.0,3
44,100017,Peking Duck,Chinese,62000.0,3
45,100018,Shawarma,Middle Eastern,62000.0,1
46,100018,Kebab,Middle Eastern,26000.0,2
47,100018,Falafel,Middle Eastern,78000.0,2
48,100018,Lamb Chops,Middle Eastern,15000.0,3
49,100019,Gado-Gado,Indonesian,68000.0,2
50,100020,Grilled Chicken,Western,17000.0,3
51,100020,Club Sandwich,Western,83000.0,2
52,100021,Falafel,Middle Eastern,81000.0,2
53,100021,Fattoush,Middle Eastern,28000.0,2
54,100022,Samosa,Indian,49000.0,2
55,100022,Palak Paneer,Indian,53000.0,2
56,100023,Gado-Gado,Indonesian,56000.0,1
57,100023,Soto Ayam,Indonesian,74000.0,1
58,100023,Nasi Goreng,Indonesian,72000.0,2
59,100024,Kebab,Middle Eastern,34000.0,2
60,100025,Samosa,Indian,78000.0,2
61,100025,Tandoori Chicken,Indian,61000.0,3
62,100025,Butter Chicken,Indian,43000.0,1
63,100026,Fattoush,Middle Eastern,67000.0,2
64,100026,Manakish,Middle Eastern,20000.0,2
65,100027,Mie Goreng,Indonesian,60000.0,2
66,100028,Fish & Chips,Western,30000.0,3
67,100028,BBQ Ribs,Western,67000.0,3
68,100028,Grilled Chicken,Western,49000.0,3
69,100028,Pasta,Western,29000.0,1
70,100029,Spring Roll,Chinese,84000.0,2
71,100030,Bakso,Indonesian,73000.0,2
72,100030,Soto Ayam,Indonesian,24000.0,3
73,100030,Mie Goreng,Indonesian,50000.0,1
74,100031,Korean BBQ,Korean,26000.0,1
75,100031,Tteokbokki,Korean,63000.0,2
