order_id,session_id,customer_id,restaurant_id,courier_id,channel,campaign,voucher_code,device,city,destination_name,delivery_distance_km,order_type,placed_at,food_ready_at,picked_up_at,delivered_at,order_status,cancel_note,food_price,discount_amount
100001,10007,1355,2654,3471,paid_social,ig_story_feb,,web,Jakarta Selatan,Kos Urbanest Lt.2,2.4,regular,2024-04-24 15:01:18,2024-04-24 15:20:18,2024-04-24 15:28:18,2024-04-24 15:46:18,delivered,,62000.0,0
100002,10008,1158,2824,8438,organic,,,ios,Jakarta Pusat,Ruko Shopville No.34,9.2,regular,2024-01-07 21:48:34,2024-01-07 22:11:34,2024-01-07 22:15:34,2024-01-07 22:32:34,delivered,,66000.0,0
100003,10022,1229,4119,3426,promo,promo_jan_newyear,NEWYEAR25,android,Bekasi,Cozy Nest Kos No.3,6.0,regular,2024-05-12 19:26:00,2024-05-12 19:37:00,2024-05-12 19:43:00,2024-05-12 19:57:00,delivered,,323000.0,81000.0
100004,10034,1283,8668,6813,paid_search,competitor_kw,,android,Jakarta Barat,Ruko Shopville No.34,6.3,priority,2024-04-12 18:45:28,2024-04-12 19:09:28,2024-04-12 19:38:28,2024-04-12 19:43:28,delivered,,302000.0,0
100005,10040,1124,9348,6188,paid_social,tiktok_mar,,android,Jakarta Barat,Blok Metropol D-08,2.6,regular,2024-06-27 23:32:53,2024-06-27 23:45:53,2024-06-27 23:48:53,2024-06-28 00:08:53,delivered,,277000.0,0
100006,10051,1168,5889,4114,referral,ref_influencer,INFLUENCER15,android,Bekasi,Mall Grandio Loker G1,1.1,regular,2024-06-14 19:57:38,2024-06-14 20:06:38,2024-06-14 20:09:38,2024-06-14 20:17:38,delivered,,180000.0,27000.0
100007,10060,1270,8668,8438,promo,promo_jan_newyear,NEWYEAR25,android,Jakarta Barat,Kos Urbanest Lt.2,6.5,regular,2024-05-18 18:34:00,2024-05-18 19:15:00,2024-05-18 19:20:00,2024-05-18 19:38:00,delivered,,66000.0,16000.0
100008,10072,1152,9928,4997,referral,ref_friend_program,FRIENDREF,android,Jakarta Utara,Skybridge Condo 2A,8.4,saver,2024-02-03 17:09:41,2024-02-03 17:20:41,2024-02-03 17:24:41,2024-02-03 17:44:41,delivered,,82000.0,12000.0
100009,10079,1350,7570,3900,promo,promo_jan_newyear,NEWYEAR25,web,Jakarta Utara,Vista Arcade Lt.3,11.0,regular,2024-04-10 11:08:47,2024-04-10 11:25:47,2024-04-10 11:28:47,2024-04-10 12:06:47,delivered,,225000.0,56000.0
100010,10081,1027,2654,4920,paid_social,tiktok_mar,,android,Jakarta Timur,Citadel Suites 3B,11.2,priority,2024-04-01 09:48:31,2024-04-01 10:09:31,2024-04-01 10:15:31,2024-04-01 10:28:31,delivered,,390000.0,0
100011,10083,1056,8517,3870,referral,ref_influencer,,android,Bekasi,Citadel Suites 3B,8.8,regular,2024-06-26 00:01:25,2024-06-26 00:11:25,2024-06-26 00:17:25,2024-06-26 00:47:25,delivered,,462000.0,0
100012,10089,1630,2290,9903,organic,,,android,Tangerang,Griyand Tower 8F,7.9,regular,2024-05-24 22:35:57,2024-05-24 22:56:57,2024-05-24 23:02:57,2024-05-24 23:10:57,delivered,,260000.0,0
100013,10097,1792,6038,4978,organic,,,android,Jakarta Utara,Griyand Tower 8F,5.9,priority,2024-04-22 10:21:20,2024-04-22 10:34:20,2024-04-22 10:41:20,2024-04-22 10:55:20,delivered,,21000.0,0
100014,10102,1242,5673,4920,referral,ref_influencer,INFLUENCER15,ios,Tangerang,Griyand Tower 8F,9.2,regular,2024-02-14 09:51:07,2024-02-14 10:14:07,2024-02-14 10:21:07,2024-02-14 10:43:07,delivered,,504000.0,76000.0
100015,10103,1302,6977,2169,organic,,,ios,Bekasi,Mall Grandio Loker G1,2.7,priority,2024-01-16 19:01:36,2024-01-16 19:24:36,2024-01-16 19:31:36,,cancelled,restaurant_closed,117000.0,0
100016,10104,1466,1106,7745,referral,ref_influencer,INFLUENCER15,ios,Bekasi,Vista Arcade Lt.3,11.8,regular,2024-05-10 20:39:06,2024-05-10 20:55:06,2024-05-10 21:02:06,2024-05-10 21:20:06,delivered,,464000.0,70000.0
100017,10110,1119,6413,2638,organic,,,android,Jakarta Utara,Pavilion Stay B-6,7.8,priority,2024-01-14 12:33:35,2024-01-14 12:52:35,2024-01-14 12:58:35,2024-01-14 13:08:35,delivered,,546000.0,0
100018,10113,1064,8744,2193,paid_social,ig_story_feb,,android,Jakarta Pusat,Ruko Shopville No.34,1.3,priority,2024-04-07 19:24:50,2024-04-07 19:47:50,2024-04-07 19:52:50,2024-04-07 20:04:50,delivered,,315000.0,0
100019,10131,1772,5061,6934,paid_social,ig_reel_jan,,android,Jakarta Timur,Griyand Tower 8F,10.4,regular,2024-01-04 20:16:53,2024-01-04 21:02:53,2024-01-04 21:08:53,2024-01-04 21:25:53,delivered,,136000.0,0
100020,10133,1434,2084,3546,organic,,,android,Jakarta Utara,Marketo Hub Lt.4,1.8,priority,2024-03-11 08:07:43,2024-03-11 08:22:43,2024-03-11 08:27:43,2024-03-11 08:37:43,delivered,,217000.0,0
100021,10155,1234,1241,4978,organic,,,web,Bekasi,Grandioso Mall Loker,3.8,priority,2024-04-14 10:51:48,2024-04-14 11:10:48,2024-04-14 11:17:48,2024-04-14 11:23:48,delivered,,218000.0,0
100022,10158,1524,3547,4681,organic,,,android,Bekasi,Vista Arcade Lt.3,9.3,priority,2024-03-12 11:52:36,2024-03-12 12:16:36,2024-03-12 12:22:36,2024-03-12 12:35:36,delivered,,204000.0,0
100023,10159,1323,9837,5956,referral,ref_influencer,,ios,Jakarta Pusat,Cozy Nest Kos No.3,7.3,regular,2024-04-06 21:32:52,2024-04-06 21:47:52,2024-04-06 22:34:52,2024-04-06 22:56:52,delivered,,274000.0,0
100024,10161,1021,9830,5573,promo,promo_jan_newyear,,ios,Jakarta Pusat,Ruko Nexus No.19,11.6,regular,2024-05-17 17:06:53,2024-05-17 17:20:53,2024-05-17 17:25:53,2024-05-17 17:45:53,delivered,,68000.0,0
100025,10166,1423,3724,2638,referral,ref_influencer,INFLUENCER15,android,Jakarta Pusat,Cozy Nest Kos No.3,9.5,saver,2024-03-09 16:45:24,2024-03-09 17:18:24,2024-03-09 17:26:24,2024-03-09 17:42:24,delivered,,382000.0,57000.0
100026,10178,1273,1106,4044,referral,ref_influencer,,android,Jakarta Timur,Skybridge Condo 2A,11.7,regular,2024-03-14 22:27:33,2024-03-14 22:41:33,2024-03-14 22:43:33,2024-03-14 22:56:33,delivered,,174000.0,0
