session_id,user_id,channel,campaign,device,city,session_start_at
10001,1464,paid_social,ig_story_feb,android,Jakarta Selatan,2024-01-27 14:47:00
10002,1702,paid_social,ig_reel_jan,web,Bekasi,2024-03-21 08:00:00
10003,1182,referral,ref_friend_program,ios,Jakarta Timur,2024-06-23 09:11:00
10004,1599,organic,,android,Jakarta Utara,2024-03-06 07:21:00
10005,1725,paid_social,tiktok_mar,android,Tangerang,2024-03-22 23:14:00
10006,1227,referral,ref_friend_program,android,Bekasi,2024-02-24 17:21:00
10007,1355,paid_social,ig_story_feb,web,Jakarta Selatan,2024-04-24 14:57:00
10008,1158,organic,,ios,Jakarta Pusat,2024-01-07 21:45:00
10009,1547,referral,ref_influencer,android,Jakarta Selatan,2024-02-26 11:47:00
10010,1012,organic,,android,Tangerang,2024-05-21 11:07:00
10011,1662,paid_social,ig_reel_jan,android,Tangerang,2024-05-11 11:10:00
10012,1563,organic,,ios,Jakarta Selatan,2024-04-28 09:18:00
10013,1072,paid_search,competitor_kw,ios,Jakarta Pusat,2024-02-19 17:31:00
10014,1439,paid_social,ig_reel_jan,ios,Tangerang,2024-02-13 07:20:00
10015,1340,paid_social,ig_story_feb,ios,Jakarta Barat,2024-05-02 21:28:00
10016,1202,organic,,ios,Jakarta Barat,2024-03-08 09:46:00
10017,1565,paid_social,tiktok_mar,ios,Jakarta Timur,2024-03-07 22:41:00
10018,1515,promo,promo_jan_newyear,android,Jakarta Pusat,2024-01-03 14:54:00
10019,1580,paid_social,tiktok_mar,android,Jakarta Barat,2024-06-17 11:47:00
10020,1044,organic,,android,Jakarta Utara,2024-06-20 13:33:00
10021,1270,organic,,android,Jakarta Utara,2024-05-28 12:24:00
10022,1229,promo,promo_jan_newyear,android,Bekasi,2024-05-12 19:22:00
10023,1222,paid_social,ig_reel_jan,ios,Jakarta Utara,2024-04-24 22:55:00
10024,1524,paid_social,tiktok_mar,ios,Jakarta Barat,2024-03-08 12:46:00
10025,1536,organic,,android,Jakarta Pusat,2024-05-09 20:52:00
10026,1553,paid_social,ig_reel_jan,android,Jakarta Barat,2024-01-01 20:33:00
10027,1760,paid_search,brand_kw_feb,ios,Bekasi,2024-06-27 10:27:00
10028,1006,promo,promo_jan_newyear,android,Bekasi,2024-01-02 23:07:00
10029,1668,paid_social,ig_story_feb,android,Jakarta Pusat,2024-05-29 15:16:00
10030,1424,paid_search,brand_kw_feb,web,Bekasi,2024-05-21 22:11:00
10031,1676,promo,promo_ramadan,android,Bekasi,2024-01-31 14:28:00
10032,1652,organic,,ios,Jakarta Selatan,2024-01-02 09:52:00
10033,1531,referral,ref_influencer,android,Jakarta Timur,2024-03-14 13:02:00
10034,1283,paid_search,competitor_kw,android,Jakarta Barat,2024-04-12 18:42:00
10035,1236,organic,,ios,Jakarta Timur,2024-03-21 20:22:00
10036,1183,organic,,android,Tangerang,2024-05-01 17:22:00
10037,1212,paid_search,brand_kw_jan,android,Jakarta Timur,2024-02-28 13:53:00
10038,1381,paid_social,tiktok_mar,android,Jakarta Selatan,2024-06-07 17:31:00
10039,1769,paid_social,ig_story_feb,android,Jakarta Utara,2024-05-27 11:03:00
10040,1124,paid_social,tiktok_mar,android,Jakarta Barat,2024-06-27 23:29:00
10041,1646,organic,,android,Depok,2024-05-12 17:50:00
10042,1261,paid_social,ig_story_feb,android,Jakarta Barat,2024-05-01 10:28:00
10043,1621,organic,,android,Tangerang,2024-02-20 12:49:00
10044,1294,paid_search,competitor_kw,android,Jakarta Pusat,2024-04-28 11:55:00
10045,1352,paid_search,competitor_kw,ios,Jakarta Pusat,2024-02-28 17:20:00
10046,1189,promo,promo_ramadan,ios,Depok,2024-01-06 11:46:00
10047,1066,referral,ref_friend_program,android,Bekasi,2024-05-01 08:01:00
